"Sex","Body_Weight","Heart_Weight"
1,3.1,14.3
0,2,7.4
1,2.9,10.1
1,3.2,13.5
1,3.6,15
0,2.2,10.9
1,2.4,7.9
1,2.2,9.6
1,2.2,9.6
0,2.6,10.1
1,3,10.4
1,3.3,14.9
0,2.2,7.1
0,2.3,10.6
1,2.6,9.4
1,2.7,9.6
1,2.8,13.3
0,2.4,10.2
0,2.1,8.3
0,2.1,7.2
0,2.3,9.6
1,3.6,13.3
1,2.2,9.1
1,2.5,9.3
1,2,6.5
1,2.7,12.5
0,2.3,8.4
1,3,12.2
1,2.2,8.5
1,3.2,11.6
1,3.4,12.8
0,2.2,11
1,3.4,12.2
1,2.5,12.7
1,3.1,12.1
0,2.9,10.1
1,2.6,8.3
1,2,6.5
1,3,11.6
1,2.2,7.6
1,3.2,11.9
0,2,9.5
1,3,10
1,3.5,12.9
1,3,13.8
1,2.8,9.1
0,2.3,10.1
1,2.4,7.9
1,3.5,17.2
0,2.1,8.5
1,3.2,12.3
0,2.3,10.1
1,3,12.7
1,3.2,13.6
0,2.4,8.8
0,2.9,9.9
0,2.3,11.2
0,2.5,10.9
0,2.3,9.5
1,2.7,9
1,2.7,12
1,2.5,7.9
1,2.4,7.3
1,3.3,15.4
0,2.9,10.1
0,2.7,8.5
1,3.5,11.7
1,3.4,12.4
1,2.4,9.1
1,2.5,8.6
1,3.3,11.5
0,3,10.6
1,3.1,12.5
1,3,12.4
1,2.2,7.2
0,2.3,9.7
1,2.9,11.3
0,2.3,9
1,3.2,13
0,2.2,9.1
1,2.4,9.3
0,2.2,9.7
1,2.2,10.7
1,2.5,8.8
1,3.1,11.5
0,2.1,9.8
1,2.8,11.4
0,2.2,8.7
0,2,7
0,2.3,9
0,2.4,6.3
1,2.5,11
0,2.4,8.7
1,2.8,10.2
1,2.9,10.6
1,3.6,14.8
1,2.7,9.8
1,3.4,14.4
1,2.7,10.4
1,3.3,14.1
